22009,Jurong West Ctrl 3-Boon Lay Int
22489,Jurong West Ctrl 1-Blk 683a
21371,Jln Boon Lay-Blk 680c
27091,Jln Bahar-Opp Blk 271 Cp
27101,Jln Bahar-Opp Westwood Sec Sch
27121,Jln Bahar-Bef Nanyang Ave
27171,Nanyang Ave-Bef Lor Danau
27181,Nanyang Ave-Pub Sub-Stn
27011,Nanyang Cres-Hall 11 Blk 55
27071,Nanyang Cres-Nanyang Cres Halls
27021,Nanyang Cres-Hall 15
27031,Nanyang Cres-Hall 12
27041,Nanyang Cres-Nie Cp 7
27051,Nanyang Cres-Nie Lib
27219,Nanyang Dr-Nie Blk 2
27069,Nanyang Dr-Blk 41
27209,Nanyang Ave-Halls 8 & 9
27199,Nanyang Ave-Hall 11
27189,Nanyang Ave-Opp Pub Sub-Stn
27179,Nanyang Ave-Aft Lor Danau
27169,Nanyang Ave-Bef Jln Bahar
27129,Jln Bahar-Opp Nanyang Ave
27109,Jln Bahar-Westwood Sec Sch
27099,Jln Bahar-Blk 271 Cp
21379,Jln Boon Lay-Blk 263
22481,Jurong West Ctrl 1-Blk 691a Cp
22009,Jurong West Ctrl 3-Boon Lay Int
